Location;Area;Forest Type;Aspect of Location;Position at slope;Notes to location;Tree;GPS Rechtswert;GPS Hochwert;Altitude tree;Height [m] mean;Height [m] median;Beginn Krone [m] mean;Beginn Krone [m] median;Height crown [m];Height crown [m] median;r crown min;r crown max;r crown mean;Distance to next tree stem;Species of tree;Device;GPS Rechtswert;GPS Hochwert;Distance to tree stem;Altitude device;Stand density (Bitterlich);Canopy density;Species_1;Species_2;Species_3;Species_4
1;24*29*21;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227441;3180799;1227;21,58;21,79;10,58;10,67;11;11;3,7;8,1;5,9;1,12;Pinus canariensis;111;28R 0227435;3180793;0,64;1228;5;73,88;Pinus canariensis;Agerantia adenophora;Erica arborea;
1;24*29*22;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227441;3180799;1227;21,58;21,79;10,58;10,67;11;11;3,7;8,1;5,9;1,12;Pinus canariensis;112;28R 0227435;3180792;0,98;1228;12;68,58;Pinus canariensis;Agerantia adenophora;Myrica faya;
1;24*29*23;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227441;3180799;1227;21,58;21,79;10,58;10,67;11;11;3,7;8,1;5,9;1,12;Pinus canariensis;113;28R 0227441;3180792;3,1;1228;14;72,89;Pinus canariensis;Pteridium aquifolium;Myrica faya;
1;24*29*24;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227448;3180792;1215;14,14;14,52;4,83;4,85;9,35;10;0,24;5,88;3,18;1,05;Myrica faya;121;28R 0227450;3180786;2,92;1223;17;76,69;Myrica faya;Laurus novocanariensis;Erica arborea;
1;24*29*25;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227448;3180792;1215;14,14;14,52;4,83;4,85;9,35;10;0,24;5,88;3,18;1,05;Myrica faya;122;28R 0227461;3180791;3,47;1224;17;83,91;Myrica faya;Pteridium aquifolium;Erica arborea;Laurus novocanariensis
1;24*29*26;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227448;3180792;1215;14,14;14,52;4,83;4,85;9,35;10;0,24;5,88;3,18;1,05;Myrica faya;123;28R 0227458;3180791;0,84;1225;19;80,06;Myrica faya;Laurus novocanariensis;;
1;24*29*27;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 022745;3180775;1225;12,11;12,11;1,54;1,54;10,57;10,57;3,1;5,05;4,08;0,66;Myrica faya;131;28R 0227440;3180775;2,45;1222;13;83,70;Myrica faya;Agerantia adenophora;Pinus canariensis;
1;24*29*28;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 022745;3180775;1225;12,11;12,11;1,54;1,54;10,57;10,57;3,1;5,05;4,08;0,66;Myrica faya;132;28R 0227441;3180777;0,68;1224;17;89,73;Myrica faya;Agerantia adenophora;Pinus canariensis;
1;24*29*29;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 022745;3180775;1225;12,11;12,11;1,54;1,54;10,57;10,57;3,1;5,05;4,08;0,66;Myrica faya;133;28R 0227440;3180769;2,28;1224;24;84,08;Myrica faya;Agerantia adenophora;Erica arborea;
2;30*22*22;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;21;28R 0224017;3170049;1242;5,33;5,5;4,16;4;1,17;1;0,35;2,3;1,33;1,75;Myrica faya;211;28R 0224009;3170042;0,62;1236;21;82,60;;Laurus novocanariensis;;
2;30*22*23;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;21;28R 0224017;3170049;1242;5,33;5,5;4,16;4;1,17;1;0,35;2,3;1,33;1,75;Myrica faya;212;28R 0224018;3170042;1,2;1235;18;84,93;Myrica faya;Laurus novocanariensis;;
2;30*22*24;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;21;28R 0224017;3170049;1242;5,33;5,5;4,16;4;1,17;1;0,35;2,3;1,33;1,75;Myrica faya;213;28R 0224013;3170044;1,9;1235;19;81,90;Myrica faya;Triopteris oligodonto;Laurus novocanariensis;
2;30*22*25;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;22;28R 0224002;3170037;1246;7,33;7;4,16;4;3,16;3;3,1;8,35;5,73;0,8;Laurus novocanariensis;221;28R 0224002;3170033;2,05;1242;19;84,53;Laurus novocanariensis;Pericallis papyracea;Myrica faya;Erica arborea
2;30*22*26;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;22;28R 0224002;3170037;1246;7,33;7;4,16;4;3,16;3;3,1;8,35;5,73;0,8;Laurus novocanariensis;222;28R 0224003;3170034;1,1;1243;20;85,07;Laurus novocanariensis;Myrica faya;Erica arborea;
2;30*22*27;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;22;28R 0224002;3170037;1246;7,33;7;4,16;4;3,16;3;3,1;8,35;5,73;0,8;Laurus novocanariensis;223;28R 0224001;3170036;1,66;1246;23;84,86;Laurus novocanariensis;Myrica faya;;
2;30*22*28;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;23;28R 0223993;3170056;1244;15,75;16,25;1,92;2;13,83;14,5;0,65;5,85;3,25;1,9;Laurus novocanariensis;231;28R 0223987;3170055;0,65;1244;24;81,65;Laurus novocanariensis;Triopteris oligodonto;;
2;30*22*29;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;23;28R 0223993;3170056;1244;15,75;16,25;1,92;2;13,83;14,5;0,65;5,85;3,25;1,9;Laurus novocanariensis;232;28R 0224000;3170055;1,2;1245;21;81,55;Laurus novocanariensis;;;
2;30*22*30;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;23;28R 0223993;3170056;1244;15,75;16,25;1,92;2;13,83;14,5;0,65;5,85;3,25;1,9;Laurus novocanariensis;233;28R 0223999;3170053;2,3;1246;22;72,58;Laurus novocanariensis;;;
3;12*32*26;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;31;28R 0223187;3168048;1479;23,33;23,5;5,83;6;17,5;18;1,35;5;3,18;1,7;Pinus canariensis;311;28R 0223192;3168062;1,45;1479;23;47,92;Pinus canariensis;Cistus symphytifolius;;
3;12*32*27;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;31;28R 0223187;3168048;1479;23,33;23,5;5,83;6;17,5;18;1,35;5;3,18;1,7;Pinus canariensis;312;28R 0223193;3168061;0,58;1479;18;46,96;Pinus canariensis;;;
3;12*32*28;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;31;28R 0223187;3168048;1479;23,33;23,5;5,83;6;17,5;18;1,35;5;3,18;1,7;Pinus canariensis;313;28R 0223190;3168041;2,25;1479;17;48,80;Pinus canariensis;;;
3;12*32*29;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;32;28R 0223162;3168046;1484;26,76;26;6;5;20,67;21;2,75;5,65;4,2;3,76;Pinus canariensis;321;28R 0223164;3168050;3,04;1482;16;44,80;Pinus canariensis;;;
3;12*32*30;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;32;28R 0223162;3168046;1484;26,76;26;6;5;20,67;21;2,75;5,65;4,2;3,76;Pinus canariensis;322;28R 0223171;3168050;0,88;1483;17;49,49;Pinus canariensis;;;
3;12*32*31;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;32;28R 0223162;3168046;1484;26,76;26;6;5;20,67;21;2,75;5,65;4,2;3,76;Pinus canariensis;323;28R 0223172;3168031;3,09;1484;18;65,91;Pinus canariensis;;;
3;12*32*32;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;33;28R 0223157;3168042;1485;24,25;24,25;12,33;12,5;11,92;12;2,4;0,9;4,55;2,73;Pinus canariensis;331;28R 0223176;3168035;1,3;1485;21;42,04;Pinus canariensis;;;
3;12*32*33;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;33;28R 0223157;3168042;1485;24,25;24,25;12,33;12,5;11,92;12;2,4;0,9;4,55;2,73;Pinus canariensis;332;28R 0223167;3168035;1,67;1485;20;60,13;Pinus canariensis;;;
3;12*32*34;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;33;28R 0223157;3168042;1485;24,25;24,25;12,33;12,5;11,92;12;2,4;0,9;4,55;2,73;Pinus canariensis;333;28R 0223155;3168046;1,49;1486;20;60,72;Pinus canariensis;;;
